Processed Text,summarizer
ذكر الموقع الرسمي للدفاع المدني السعودي حساب التواصل الاجتماعي تويتر عدد الوفيات بلغ اشخاص بلغ عدد المصابين وكان المتحدث الرسمي لرئاسه شؤون المسجد الحرام والمسجد النبوي اكد سقوط الرافعه جاء نتيجه للعواصف الشديده والرياح القويه والامطار الغزيره والحاله الجويه العاصمه المقدسه تسبب سقوط الرافعات بالمسجد الحرام جزء المسعى بالمسجد الحرام والطواف,"
ذكر الموقع الرسمي للدفاع المدني السعودي على حساب التواصل الاجتماعي ""تويتر"" أن عدد الوفيات بلغ حتى الآن  107 أشخاص ، فيما بلغ عدد المصابين 238 مصابًا."
ذكرت دراسه طبيه الولايات المتحده تحتل ترتيبا سيئا سجل الامم المتحده بشان تحقيق الاهداف الصحيه العالميه بسبب تعانيه مستويات عنف مرتفعه وافراط شرب الكحول وزياده نسب البدانه الاطفال ويعرض البحث نشر دوريه لانست الطبيه امس الاربعاء اول تقييم لترتيب دوله بشان اهداف الامم المتحده للتنميه المستدامه تهدف تعزيز الصحه بتحسين البيئه والغذاء والمياه وتقليل الفقر وتتاخر الولايات المتحده الدول الدخل المرتفع معدلات وفيات الامهات والاطفال يعكس اختلافات كبيره سبل الحصول الرعايه الصحيه وجودتها وتصدرت ايسلندا الترتيب تلتها سنغافوره السويد لمحافظتها السلامه الصحيه وتوفير الرعايه وتقدمها مواجهه المشاكل الصحيه تعانيها الدول الغنيه ومنها البدانه والامراض المزمنه والعنف واصابات حوادث المرور وعلى الطرف الاخر التصنيف قبعت جمهوريه افريقيا الوسطى والصومال وجنوب السودان ذيل الترتيب,وتتأخر الولايات المتحدة بين الدول ذات الدخل المرتفع في معدلات وفيات الأمهات والأطفال وهو ما يعكس اختلافات كبيرة في سبل الحصول على الرعاية الصحية وجودتها. وعلى الطرف الآخر في التصنيف قبعت جمهورية أفريقيا الوسطى والصومال وجنوب السودان في ذيل الترتيب.
اكد رئيس اقليم الشركه التونسيه لاستغلال وتوزيع المياه بزغوان ياسين العتروس خلال الاشراف عمليه انتهاء الاشغال بالبئر العميقه الجديده بجبل زغوان وقال البئر يبلغ عمقها مترا ستعزز تامين تزويد مناطق معتمديه زغوان بالماء الصالح للشرب حدود سنه نظرا لوفره مياهها بلغت قوه تدفقها لترا الثانيه واوضح العتروس خلال الزياره حضرها والي الجهه والمندوب الجهوي للفلاحه البئر العميقه قادره بلوغ لتر الثانيه اقتضت الضروره الامر سيحد بصوره كليه انقطاع الماء امتداد السنه قوله مشيرا الى كلفه انجاز البئر ستبلغ كهربتها وتجهيزها حوالي وستتولى الشركه تشغيلها حدود شهر المقبل واضاف انه تم انجاز خزانين بسعه لتر مكعب لتخزين المياه وتوزيعها ربطهما بالبئر الجديده وذلك باعتمادات بلغت ملايين وسيخصص احداهما لايصال الماء متساكني المدينه العتيقه الرحبه بزغوان بحكم موقعها المرتفع شهدته اضطرابات مستوى التزويد بماء الشرب خلال الصائفه المنقضيه يشار الى البئر الجديده تتميز بعذوبه مياهها وتدني نسبه ملوحتها قدرها الفنيون بحوالي فاصل غرام اللتر الواحد,"
أكد رئيس إقليم الشركة التونسية لإستغلال وتوزيع المياه بزغوان ياسين العتروس ،خلال الإشراف على عملية انتهاء الأشغال بالبئر العميقة الجديدة بجبل زغوان. يشار الى أن البئر الجديدة تتميز بعذوبة مياهها وتدني نسبة ملوحتها التي قدرها الفنيون بحوالي 0 فاصل 7 غرام في اللتر الواحد ."
مجلس نواب الشعب جلسته العامه المنعقده اليوم الخميس منح الثقه لكاتب الدوله وزير التجاره والصناعه مكلف بالتجاره عبد اللطيف حمام ووزير الشؤون الدينيه احمد عينهما رئيس الحكومه يوسف الشاهد اطار تحوير وزاري اعلن عنه يوم الماضي وقد حظي عبد اللطيف حمام كاتب الدوله وزير التجاره والصناعه مكلف بالتجاره بثقه نائبا ومعارضه اخرين تحصل احمد وزير الشؤون الدينيه صوتا بنعم مقابل رافضا,وقد حظي عبد اللطيف حمام كاتب الدولة لدى وزير التجارة والصناعة مكلف بالتجارة بثقة 120 نائبا ومعارضة 40 آخرين. في حين تحصل أحمد عظّوم وزير الشؤون الدينية على 119 صوتا بنعم مقابل 40 رافضا.
تم اليوم السبت تونس العاصمه عقد ندوه لتقديم تقييم تظاهره TUNISIA BRAND AWARDS مراسله الجوهره التقت مدير الدوره جمال بن حسين اكد اهتمام القطاعين العام والخاص بالدوره بمشاركه علامه تجاريه واضاف انه لمس تشاركا ناجحا القطاعين العام والخاص الدوره تعتبر بادره تونس لتثمين العلامات التجاريه جانبه قال يوسف المؤدب مدير مؤسسه وان وان للبحوث الاستطلاعات مراحل تقييم ستهتم مؤسسته بالمرحله الاولى باعتبارها معهد استطلاعات علاقه بالمعطيات الاوليه خلال استطلاع اراء المستجوبين التونسيين بمشاركه المعهد الوطني للاحصاء,"مراسلة ""الجوهرة أف أم"" التقت مدير الدورة جمال بن حسين الذي أكد اهتمام القطاعين العام والخاص بالدورة بمشاركة أكثر من 600 علامة تجارية. وأضاف انه لمس ""تشاركا ناجحا بين القطاعين العام والخاص في هذه الدورة التي تعتبر أول بادرة في تونس لتثمين العلامات التجارية"". 
تم اليوم السبت في تونس العاصمة عقد ندوة لتقديم و تقييم تظاهرة » (TUNISIA BRAND AWARDS )."
اوضحت وزاره العدل بلاغ الصوره تم تداولها زياره وزير العدل سجن المهديه تتعلق بوجبه افطار الوزير السجن وانما صوره بالحفل انتظم بفسحه السجن واحيتها فرقه متكونه السجناء انفسهم وواكبها عشرات المساجين فيهم الساحه ومنهم الغرفه الصوره محل التوضيح انه ولعدم قدره الفسحه استيعاب المودعين تم الاقتصار عدد السجناء واضافت الوزاره جانبا اخر السجناء وفي فسحه ثانيه كانوا موعد سهره فنيه اخرى فرقه فنيه محترفه وارفقت الوزاره بلاغها بصور بكلا السهرتين ووجبه الافطار الجماعي جمعت وزير العدل بعدد الاطارات القضائيه والجهويه والمحليه الاعلاميين السجناء واعوان اطارات السجن المدني بالمهديه لذا وجب التصحيح التوضيح لرفع الالتباس,وأضافت الوزارة، أن جانبا آخر من السجناء وفي فسحة ثانية كانوا على موعد مع سهرة فنية أخرى مع فرقة فنية محترفة.
نفى الناطق الرسمي باسم رئيس مجلس نواب الشعب حسان الفطحلي تم تداوله بخصوص اتصال رئيس البرلمان محمد الناصر بالنيابه العموميه حول شبهات فساد تتعلق بعدد النواب وقال الفطحلي تدوينه نشرها الجمعه صفحته بالفايسبوك الخبر عار الصحه ومجانب للواقع مشيرا رئيس المجلس صرح اثر اجتماع مكتب المجلس المنعقد يوم الخميس الماضي بانه يتلق النيابه العموميه طلب يتعلق برفع الحصانه نواب,"
نفى الناطق الرسمي باسم رئيس مجلس نواب الشعب، حسان الفطحلي ما تم تداوله بخصوص اتصال رئيس البرلمان محمد الناصر بالنيابة العمومية حول شبهات فساد تتعلق بعدد من النواب."
استضاف برنامج سينما سينما الاربعاء موعد استثنائي ابطال الفيلم التونسي الطويل غدوه Demain Dès l Aube مخرج العمل لطفي عاشور الاستضافه تاتي اطار انطلاق عرض الفيلم مستوى الجهات البدايه كانت بقاعه السينما الوحيده سوسه يقول المخرج التونسي لطفي عاشور احداث الفيلم تحقيق قضائي لحادثه وقعت ليله تتواصل اطوارها سنوات التاريخ باسلوب الكثير التشويق المغامره الفرجه توظيف الموسيقى بشكل مدروس دقيق اثار اعجاب المشاهدين قوله الحضور اشرف بن يوسف اعجابه بخوض تجربه التمثيل لاول رفقه نخبه الممثلين شاركهم دور البطوله الفيلم مضيفا اشتغل تطوير اداءه خوض التجربه جهتها بطله غدوه انيسه داود قالت احداث الفيلم تروي قصه شخصيات اجبرتهم الاحداث عاشوها ليله اصدقاء رغم التناقضات مشيره المشاهد سيجد نفسه اداء لبعض الوجوه الشابه سيعيش لحظات طريفه ناحيه لحظات تراجيديه ناحيه اخرى شارك الفيلم عدد الممثلين بينهم لطيفه القفصي وعيسى حراث غازي الزغباني محمد الداهش انيسه داود عاشور واشرف بن يوسف,"
استضاف برنامج ""سينما سينما"" الأربعاء 18 جانفي 2017 في موعد استثنائي، أبطال الفيلم التونسي الطويل ""غدوة حيّ"" Demain Dès l'Aube و مخرج العمل لطفي عاشور. و شارك في هذا الفيلم عدد من الممثلين من بينهم لطيفة القفصي وعيسى حراث و غازي الزغباني و محمد الداهش و أنيسة داود و دُريّة عاشور وأشرف بن يوسف. هذه الاستضافة تأتي في إطار انطلاق عرض الفيلم على مستوى الجهات و البداية كانت بقاعة السينما الوحيدة في سوسة."
تحادث رئيس الحكومه الحبيب ظهر اليوم الاثنين بقصر الحكومه بالقصبه وزير الايراني جواد ظريف وفي تصريح وزير الايراني بالتعاون الثنائي الكثيف تونس وبلاده مجالات واسعه سيما التباحث خلال اللقاء سبل تعزيز التعاون مجالات عديده السياحه والطاقه والبيئه والزراعه ومجال بحسب بيان اصدرته رئاسه الحكومه وافاد المسؤول الايراني خلال لقائه برئيس الحكومه الى مسائل بالتعاون الاقليمي تونس وايران بالنظر تفاقم خطر التطرف والطائفيه والارهاب مجال التعاون الاقليمي البلدين مفتوح تنامي خطر الارهاب كامل المنطقه,"
تحادث رئيس الحكومة الحبيب الصّيد ظهر اليوم الاثنين بقصر الحكومة بالقصبة مع وزير الخارجيّة الإيراني محمّد جواد ظريف."
تم اكتشاف موقع اثري منطقه فلاحيه بجزيره جربه يعود الحقبه الرومانيه وذلك قيام متساكني المنطقه بانشطه فلاحيه وشرح باحث التراث جوهره ام الاكتشاف يتمثل منزل روماني حوش يمسح حوالي متر مربع منزل متكامل مجموعه البيوت وباحه وعدد القطع المنزليه يستعملها اصحاب المنزل,"
تم اكتشاف موقع أثري في منطقة فلاحية بجزيرة جربة يعود إلى الحقبة الرومانية وذلك بعد قيام أحد متساكني المنطقة بأنشطة فلاحية."
اعلن محمود رمضان القيادي بحزب نداء تونس ووزير الشؤون الاجتماعيه اليوم الاربعاء استقالته بشكل كامل حزب نداء تونس وقال تصريح صحفي اعلن استقالتي هياكل نداء تونس عضويتي ذكر الاسباب مضيفا انه سيعلن عنها وقت لاحق,"
أعلن محمود من رمضان، القيادي بحزب نداء تونس ووزير الشؤون الاجتماعية اليوم الأربعاء 13 جانفي 2016 عن استقالته بشكل كامل من حزب ""نداء تونس"". وقال في تصريح صحفي: ""أعلن استقالتي من كل هياكل نداء تونس بما فيه عضويتي"" من دون ذكر الأسباب، مضيفا أنه سيعلن عنها في وقت لاحق."
قال اليوم الاحد نائب حركه النهضه ولايه سوسه العجمي الوريمي تعطيل الانتاج والاضرار بالمصالح خط احمر وفي تعليقه احتجاجات الكامور بتطاوين صرح الوريمي لموفد الجوهره فضلوني يعيش هامش موكب تسليم القياده المحليه للمنتخبين الجدد بالحركه سوسه المفاوضات الحكومه والمحتجين افضت لنتائج مهمه وكان يفترض البناء عليها وتخفيف التوتر ووضع حد لتعطيل الانتاج وعدم الاضرار بمصالح الجهه مضيفا بالقول نعتبره خطا احمر وفي رده سؤال موفدنا اكد نائب الحركه النهضه وراء يحدث تطاوين مستدركا بالقول مطالب المحتجين بالتنميه والتشغيل وانهاء الاقصاء مشروعه والحوار سيد الموقف تسهيل عمل القوات المسلحه لحمايه المنطقه واستمرار الانتاج الامر علاقه بالامن القومي والنمو الاقتصادي واضاف لامصلحه الوضع ودخول منعرج يرضى طرف الجميع بمسؤوليه,"
قال اليوم الأحد نائب حركة النهضة عن ولاية سوسة، العجمي الوريمي، إن تعطيل الانتاج والإضرار بالمصالح خط أحمر. وأضاف: ""لامصلحة من تعقّد الوضع ودخول منعرج لا يرضى أي طرف.. ونتطلّع من الجميع التصرّف بمسؤولية""."
تمكنت فرق المراقبه الاقتصاديه بالقيروان اليوم الكشف مخزن عشوائي للمواد الغذائيه وفق اكده مراسل الجوهره بالجهه وقد تم حجز كميه المواد الغذائيه فرينه سكر درع تم تعليبها بطريقه عشوائيه ووضعت عليها اجال الاستهلاك بطريقه عشوائيه اضافه تحرير محضر الغرض,"وقد تم حجز كمية من المواد الغذائية ( فرينة و سكر و درع) تم تعليبها بطريقة عشوائية ووضعت عليها آجال الاستهلاك بطريقة عشوائية، إضافة إلى تحرير محضر في الغرض. 
تمكنت فرق المراقبة الاقتصادية بالقيروان اليوم، من الكشف عن مخزن عشوائي للمواد الغذائية، وفق ما أكده مراسل ""الجوهرة أف أم"" بالجهة."
تمكنت فرق الشرطه البلديه والمراقبه الاقتصاديه اليوم الثلاثاء حجز بضائع مختلفه نهج اسبانيا وباب الجزيره وذلك اطار حمله للتصدي للانتصاب الفوضوي وفق اكده الناطق الرسمي باسم النقابه العامه لموظفي الشرطه البلديه منتصر بالله بربيرو جوهره تمكنت فرق اخرى وخلال زياره لمحلات تجاريه تسجيل مخالفات اقتصاديه وايقاف مفتش عنه,كما تمكنت فرق أخرى وخلال 43 زيارة لمحلات تجارية من تسجيل 10 مخالفات اقتصادية وإيقاف مفتش عنه.
وجدت دراسات عديده علاقه مباشره الماء الفواره وزياده الوزن والاصابه بالسمنه المعروف انها باستخدام نسبه اكبر اكسيد الكربون كشفت دراسه اجراها علماء دنماركيون ارتفاع نسبه اكسيد الكربون الغلاف الجوي نتج عنه زياده وزن الافراد وذلك خلال ملاحظاتهم طيله فتره البحث امتدت سنه ارتفاع نسبه اكسيد الكربون ووجدت دراسه اخرى عامي سكان الساحل الشرقي للولايات المتحده الاميركيه يعانون السمنه مفرط بغيرهم ولوحظ ارتفاع نسبه اكسيد الكربون المنطقه نقلت صحيفه Welt الالمانيه علماء افتراضهم يكون لهذا المكون تاثير الهرمونات المرتبطه بالشعور بالجوع يسبب زياده الوزن لذا ضمن قائمه مكونات المشروبات المسببه لزياده الوزن ورجحت دراسات طبيه مكون اكسيد الكربون بالماء شانه التاثير الصحه يتعلق بالسمنه المياه الفواره وقد اجرى مجموعه العلماء بجامعه بيرزيت رام الله تجارب مجموعتين الفئران لبيان تاثير المياه الفواره شربت المجموعه الاولى فواره شربت الثانيه عاديه ولوحظ زياده وزن المجموعه الاولى بنسبه اكبر الزياده الملحوظه المجموعه الثانيه وتبين ارتفاع هرمون جريلين هرمون الجوع العينات استهلكت المياه الفواره لاحظ الباحثون ارتفاع نسبه الدهون الكبد وباختبار التجربه البشر لوحظ الامر ذاته التاثير عمليه الايض بالاضافه تضييق الاوعيه الدمويه بسبب وجود مستقبلات الاوعيه الدمويه والجهاز العصبي للانسان والتي تتفاعل اكسيد الكربون وتضييق الاوعيه يسبب استهلاك المياه الفواره زياده اخطار امراض القلب بحسب دراسه فرامنغهام للقلب خمسينات القرن الماضي وكذلك علاقتها بكثافه نسبه المعادن بالعظام بحسب دراسه فرامنغهام لهشاشه العظام بسبب وجود الكافيين وحمض الفوسفوريك علاج لعسر الهضم ورغم تعتبر المياه الفواره لعسر الهضم اجرى باحثون تجربه مجموعتين المرضى يعانون عسر الهضم المتكرر والامساك المجموعه تناولت المياه الفواره تحسنت حالتهم عكس تناولوا مياه الصنبور يطرا تحسن حالتهم هافينغتون بوست,"
وجدت دراسات عديدة علاقة مباشرة بين الماء الفوارة وزيادة الوزن والإصابة بالسمنة، فمن المعروف أنها تُصنّع باستخدام نسبة أكبر من ثاني أكسيد الكربون. وتبين ارتفاع هرمون جريلين، أو هرمون الجوع، لدى العينات التي استهلكت المياه الفوارة، كما لاحظ الباحثون ارتفاع نسبة الدهون في الكبد. ورجحت دراسات طبية أن مكون ثاني أكسيد الكربون بالماء من شأنه التأثير سلباً على الصحة، خاصةً فيما يتعلق بالسمنة."
تمتع سجين اصول عربيه محكوم سنه سجنا فرنسا بعفو متوقع خطا املائي اسمه عندما تم تسجيله اسقط حرف الاسم اعلن القاضي الافراج عنه وتم بذلك الافراج السجين الخطا وقد خرج السجين محمد العباسي الاربعاء السجن بفضل الخطا رغم انه محكوما بالسجن سنه السرقه باستعمال العنف وكان قاضي تطبيق العقوبات مدينه افينيون الفرنسيه اصدر حكما الماضي يقضي بالافراج سجين يدعى العباسي تسجيل الاسم بمركز الاصلاح والتاهيل تم اسقاط حرف اسم السجين المفرج عنه ليشمل العفو سجينا اخر تم الحكم سنوات سجنا,وقد خرج السجين محمد العباسي أمس الأربعاء من السجن بفضل ذلك الخطأ رغم أنه كان محكوما بالسجن 20 سنة من أجل السرقة باستعمال العنف.
تواجد اللاعب التونسي بسام الصرارفي ضمن قائمه اللاعبين المدعويين فريقه نيس مواجهه سانت ايتيان يوم غد الاربعاء اطار الجوله البطوله الفرنسيه يذكر ان الدعوه تعد الاولى للصرارفي انتدبه الفريق الفرنسي اخر لحظات الميركاتو الشتوي,"
تواجد اللاعب التونسي بسام الصرارفي ضمن قائمة اللاعبين المدعويين مع فريقه نيس في مواجهة سانت ايتيان يوم غد الاربعاء في اطار الجولة 24 من البطولة الفرنسية . و يذكر ان هذه الدعوة تعد الاولى للصرارفي الذي انتدبه الفريق الفرنسي في اخر لحظات الميركاتو الشتوي."
